test_name,classification,root_cause,affected_function,risk_level,recommended_resolution
tests/test_advanced_regime_engine_hardening.py::test_breaker_reason_and_healing_counter_not_overwritten_same_tick,ARCHITECTURE_MISMATCH,"VOL_SHOCK overwrites MAX_DRAWDOWN reason because latest-reason assignment precedes active/same-tick guards",_trigger_circuit_breaker;AdvancedRegimeEngine.update,HIGH,"Define breaker precedence; implement first-wins or priority-wins policy."
tests/test_advanced_regime_engine_hardening.py::test_self_heal_fallback_mapping_without_errors_module,REAL_BUG,"Direct _self_heal releases un-owned RLock",_self_heal,CRITICAL,"Make lock release conditional on ownership."
tests/test_advanced_regime_engine_hardening.py::test_healing_branch_returns_immediately_after_self_heal,ARCHITECTURE_MISMATCH,"After cooldown self-heal clears breaker and update continues to RANGE; test expects immediate HALTED",AdvancedRegimeEngine.update;_self_heal,MEDIUM,"Decide post-heal control flow: continue after successful heal or return one halted tick."
tests/test_advanced_regime_engine_hardening.py::test_negative_equity_clamped_and_breaker_tripped,WRONG_EXPECTATION,"Test supplies price=0; price validation raises before equity/breaker logic",AdvancedRegimeEngine.update,LOW,"Use positive price when testing equity floor behavior."
tests/test_advanced_regime_engine_hardening.py::test_price_return_mismatch_emits_fail_safe_without_pnl_state_contamination,REAL_BUG,"Mismatch path not reached in tested sequence; stale/policy conditions let normal range_mean_revert output through",AdvancedRegimeEngine.update;_pnl_staleness_policy,HIGH,"Ensure price-return reconciliation runs deterministically when anchors exist; document timestamp/tick policy."
tests/test_advanced_regime_engine_hardening.py::test_breaker_cooldown_initialization_consistent_across_trigger_paths,ARCHITECTURE_MISMATCH,"VOL_SHOCK overwrites existing MAX_DRAWDOWN breaker reason",_trigger_circuit_breaker;AdvancedRegimeEngine.update,HIGH,"Implement explicit breaker precedence/order."
tests/test_advanced_regime_engine_hardening.py::test_warning_worker_does_not_keep_engine_alive_strongly,REAL_BUG,"Background worker/finalizer/thread state retains strong reference long enough to prevent collection",_warning_emitter_loop;_shutdown_worker;__init__,MEDIUM,"Remove strong engine retention in worker loop/finalizer and add deterministic shutdown."
tests/test_advanced_regime_engine_hardening.py::test_full_self_heal_resets_last_price_reference,REAL_BUG,"Direct no-arg _self_heal releases un-owned RLock",_self_heal,CRITICAL,"Fix lock ownership handling."
tests/test_advanced_regime_engine_live_risks.py::test_shock_warmup_transition_is_smooth,REAL_BUG,"Shock threshold warmup plateaued (t0 equals t1) instead of monotonic transition",_warmup_progress;_shock_threshold,MEDIUM,"Correct warmup progress blend so threshold changes smoothly by tick/time."
tests/test_advanced_regime_engine_live_risks.py::test_time_aware_ema_and_range_are_rate_consistent,WRONG_EXPECTATION,"Test passes price=None; update fail-fast numeric price validation raises",AdvancedRegimeEngine.update,LOW,"Omit price key or pass valid price when testing EMA/range timing."
tests/test_advanced_regime_engine_live_risks.py::test_mtf_missing_base_features_fails_safe,ARCHITECTURE_MISMATCH,"Current missing-base MTF path reports NO_FEATURES whereas test expects OK despite fail-safe",AdvancedRegimeEngine.update;MTF fusion,MEDIUM,"Define MTF missing-base status: operational OK with degraded feed, or NO_FEATURES."
tests/test_advanced_regime_engine_production_fixes.py::test_pnl_tracking_subpaths_and_breakers,WRONG_EXPECTATION,"Test passes bad-price string; update now fail-fast raises ValueError rather than feed-status output",AdvancedRegimeEngine.update,LOW,"Adjust test to new price validation contract or catch ValueError."
tests/test_advanced_regime_engine_production_fixes.py::test_alpha_override_cannot_bypass_directional_edge_gate,ARCHITECTURE_MISMATCH,"Current neutral/range mode returns execution_side=range_mean_revert; test expects flat",AdvancedRegimeEngine.update;execution side gating,MEDIUM,"Clarify whether neutral range exposure is allowed when alpha override lacks edge."
tests/test_advanced_regime_engine_production_hardening.py::test_concurrent_self_heal,REAL_BUG,"Concurrent direct _self_heal calls throw RLock release errors; healing_count stops at 8 instead of expected 1600",_self_heal,CRITICAL,"Make self-heal thread-safe and non-reentrant-safe."
tests/test_advanced_regime_engine_production_hardening.py::test_equity_persistence,REAL_BUG,"Direct _self_heal raises lock release error before equity persistence can be validated",_self_heal,CRITICAL,"Fix lock ownership; then re-check equity preservation."
tests/test_advanced_regime_engine_verified_fixes.py::test_mtf_default_base_only_does_not_total_fail,STALE_TEST,"Test expects scalar feed_status 'OK'; schema now returns dict primary OK",_build_output;MTF fusion,LOW,"Update assertion to primary."
tests/test_advanced_regime_engine_verified_fixes.py::test_mtf_unknown_and_zero_weight_timeframes_degrade_predictably,STALE_TEST,"Test expects scalar feed_status; schema now returns dict primary OK",_build_output;MTF fusion,LOW,"Update assertion to primary/flags."
tests/test_advanced_regime_engine_verified_fixes.py::test_price_return_mismatch_early_return_updates_timestamp_anchor,STALE_TEST,"Mismatch path does return structured feed_status dict; test expects scalar",_build_output;AdvancedRegimeEngine.update,LOW,"Update assertion to risk_metrics.feed_status.primary."
tests/test_advanced_regime_engine_verified_fixes.py::test_invalid_scalar_return_fails_safe_with_observable_status,STALE_TEST,"Invalid-return fail-safe now nests feed_status",_build_output;AdvancedRegimeEngine.update,LOW,"Update assertion to primary."
tests/test_advanced_regime_engine_mission_critical_refactor.py::test_mtf_graceful_degradation_survives_base_feature_corruption,ARCHITECTURE_MISMATCH,"Current MTF base-feature corruption status is MTF_FUSED_BASE_FEATURE_INVALID_MACRO_ONLY with flag MACRO_ONLY_FALLBACK; test expects older scalar",AdvancedRegimeEngine.update;MTF fusion,MEDIUM,"Document and standardize MTF degradation status names/flags."
tests/test_advanced_regime_engine_mission_critical_refactor.py::test_lock_safety_concurrent_self_heal_and_update,REAL_BUG,"Concurrent direct self-heal and update produce many RLock release failures",_self_heal;AdvancedRegimeEngine.update,CRITICAL,"Fix ownership-aware lock release and serialize healing state transitions."
tests/test_regime_engine_full_audit.py::TestRegimeClassification::test_strong_bull_returns_trend,REAL_BUG,"Same TREND recall collapse as bull_bias: 3-state synthetic artifact and heuristic score layer do not identify strong bull stream",compute_hmm_regime;AdvancedRegimeEngine.update,HIGH,"Recalibrate/realign regime classifier; add classification acceptance metrics."
tests/test_regime_engine_full_audit.py::TestRegimeClassification::test_flat_returns_range,REAL_BUG,"Same RANGE recall collapse as range_presence: no trained RANGE state and heuristic scoring fails flat stream",compute_hmm_regime;RegimeMarkovSmoother.update,HIGH,"Use calibrated RANGE target or recalibrated 4-state artifact."
tests/test_regime_engine_full_audit.py::TestRegimeOutputSchema::test_build_output_failsafe,WRONG_EXPECTATION,"Test intentionally passes invalid schema values but expects original TREND; schema guard correctly emits UNKNOWN fail-safe",_build_output;_validate_output_schema,LOW,"Update test to assert fail-safe behavior or pass schema-valid inputs."
tests/test_regime_wiring_audit.py::test_main_does_not_shadow_engine_symbols,ARCHITECTURE_MISMATCH,"main.py no longer exposes expected legacy symbols such as detect_entry_trigger",main.py import surface,MEDIUM,"Either restore compatibility exports or update wiring contract."
tests/test_regime_wiring_audit.py::test_main_signal_pipeline_engine_constructed,REAL_BUG,"Signal pipeline engine is None even when imports succeed; integration bootstrap contract not met",main.py signal pipeline bootstrap,HIGH,"Initialize pipeline deterministically or expose explicit disabled reason."
tests/test_regime_wiring_audit.py::test_sniper_execution_engine_signal_only_does_not_execute,ARCHITECTURE_MISMATCH,"SniperExecutionEngine constructor enforces BTCBOT_LIVE_MODE=1 before signal-only dry path",engine.py SniperExecutionEngine.__init__,MEDIUM,"Allow signal-only construction without live mode or update safety contract."
tests/test_regime_accuracy.py::test_accuracy_trend_recall,REAL_BUG,"Measured TREND recall is 0.0; classifier collapses away from TREND on synthetic accuracy set",compute_hmm_regime;AdvancedRegimeEngine.update,HIGH,"Fix regime classifier/calibration before relying on accuracy metrics."
tests/integration/test_regime_engine_integration.py::test_regime_engine_integration,REAL_BUG,"Minimal integration update returns UNKNOWN, indicating normal integration contract cannot produce actionable regime for supplied payload",AdvancedRegimeEngine.update,HIGH,"Trace minimal payload path and decide whether features/weights requirements should fail-safe or produce regime."
